sale_id,sale_date,customer_name,customer_city,product_name,product_category,unit_price,quantity,total_amount,seller_name,sales_channel,sale_status,payment_method
1000,2024-01-26,Customer_141,Buenos Aires,Gym Hoodie,Training,85000,1,85000,David,Instagram,Cancelled,Transfer
1001,2024-03-30,Customer_303,Vicente Lopez,Gym Hoodie,Training,85000,3,255000,David,WhatsApp,Closed,Cash
1002,2024-01-28,Customer_288,Buenos Aires,Nike Mercurial,Boots,145000,2,290000,Martin,Referral,Closed,Debit
1003,2024-01-07,Customer_82,Vicente Lopez,Training Pants,Training,62000,1,62000,Lucas,MercadoLibre,Closed,Cash
1004,2024-04-14,Customer_48,Vicente Lopez,Captain Armband,Accessories,10000,1,10000,David,MercadoLibre,Pending,Credit Card
1005,2025-04-15,Customer_275,CABA,Captain Armband,Accessories,10000,1,10000,Lucas,WhatsApp,Cancelled,Credit Card
1006,2025-01-05,Customer_296,Buenos Aires,Sports Backpack,Accessories,26000,3,78000,Martin,WhatsApp,Closed,Cash
1007,2024-03-22,Customer_120,CABA,Captain Armband,Accessories,10000,1,10000,Lucas,MercadoLibre,Pending,Credit Card
1008,2024-12-29,Customer_108,Olivos,Argentina Jersey,Jersey,65000,1,65000,Martin,WhatsApp,Cancelled,Cash
1009,2024-09-07,Customer_84,Vicente Lopez,Training Jacket,Training,78000,3,234000,Lucas,MercadoLibre,Cancelled,Cash
1010,2024-02-27,Customer_118,CABA,Gym Hoodie,Training,85000,1,85000,Lucas,Referral,Pending,Transfer
1011,2024-11-18,Customer_109,Vicente Lopez,Nike Mercurial,Boots,145000,2,290000,Lucas,Referral,Closed,Credit Card
1012,2024-09-26,Customer_300,Vicente Lopez,Argentina Jersey,Jersey,65000,1,65000,Martin,Referral,Pending,Cash
1013,2025-05-20,Customer_47,CABA,Argentina Jersey,Jersey,65000,2,130000,David,Instagram,Cancelled,Cash
1014,2025-03-08,Customer_306,CABA,Captain Armband,Accessories,10000,3,30000,Lucas,Referral,Cancelled,Debit
1015,2024-01-12,Customer_349,CABA,Training Jacket,Training,78000,1,78000,Martin,MercadoLibre,Cancelled,Credit Card
1016,2025-03-21,Customer_81,Vicente Lopez,River Jersey,Jersey,56000,1,56000,David,MercadoLibre,Cancelled,Cash
1017,2024-11-01,Customer_328,San Isidro,Training Jacket,Training,78000,1,78000,Martin,Instagram,Closed,Credit Card
1018,2025-06-27,Customer_1,San Isidro,Captain Armband,Accessories,10000,1,10000,Lucas,Referral,Closed,Transfer
1019,2024-09-02,Customer_30,Buenos Aires,Puma Future,Boots,138000,1,138000,Martin,WhatsApp,Closed,Debit
1020,2025-06-29,Customer_65,Buenos Aires,Sports Backpack,Accessories,26000,1,26000,Martin,Referral,Cancelled,Cash
1021,2025-03-09,Customer_109,San Isidro,Adidas Predator,Boots,160000,2,320000,Martin,Instagram,Cancelled,Credit Card
1022,2025-01-17,Customer_225,San Isidro,Training Shorts,Shorts,28000,3,84000,Lucas,WhatsApp,Closed,Cash
1023,2024-01-22,Customer_302,San Isidro,River Jersey,Jersey,56000,1,56000,David,Instagram,Closed,Transfer
1024,2024-03-01,Customer_118,CABA,Football Socks,Accessories,12000,3,36000,David,MercadoLibre,Closed,Cash
1025,2025-05-12,Customer_110,San Isidro,Adidas Predator,Boots,160000,3,480000,David,Referral,Closed,Debit
1026,2024-07-13,Customer_49,CABA,Captain Armband,Accessories,10000,2,20000,Martin,Referral,Pending,Debit
1027,2024-02-25,Customer_345,CABA,Training Shorts,Shorts,28000,2,56000,David,Referral,Cancelled,Credit Card
1028,2024-09-11,Customer_99,Buenos Aires,Captain Armband,Accessories,10000,1,10000,Martin,Referral,Closed,Debit
1029,2025-04-18,Customer_128,CABA,Argentina Jersey,Jersey,65000,1,65000,Lucas,WhatsApp,Closed,Transfer
1030,2024-06-19,Customer_209,Vicente Lopez,River Jersey,Jersey,56000,1,56000,Lucas,Instagram,Pending,Transfer
1031,2024-01-03,Customer_200,Olivos,Argentina Jersey,Jersey,65000,2,130000,Lucas,MercadoLibre,Pending,Debit
1032,2024-10-30,Customer_112,CABA,Argentina Jersey,Jersey,65000,1,65000,Martin,WhatsApp,Cancelled,Credit Card
1033,2025-05-03,Customer_258,San Isidro,Boca Jersey,Jersey,55000,1,55000,David,WhatsApp,Cancelled,Transfer
1034,2024-03-11,Customer_305,CABA,Sports Backpack,Accessories,26000,1,26000,Martin,Instagram,Pending,Transfer
1035,2024-02-10,Customer_318,CABA,Training Pants,Training,62000,1,62000,Lucas,MercadoLibre,Pending,Cash
1036,2024-11-17,Customer_123,Olivos,Gym Hoodie,Training,85000,3,255000,Lucas,Instagram,Cancelled,Credit Card
1037,2024-03-15,Customer_5,Vicente Lopez,Compression Shorts,Shorts,35000,1,35000,Martin,WhatsApp,Closed,Cash
1038,2024-05-15,Customer_179,CABA,Training Jacket,Training,78000,1,78000,David,MercadoLibre,Pending,Cash
1039,2024-11-05,Customer_314,San Isidro,Compression Shorts,Shorts,35000,2,70000,David,MercadoLibre,Cancelled,Transfer
1040,2024-04-28,Customer_55,San Isidro,Argentina Jersey,Jersey,65000,1,65000,David,MercadoLibre,Pending,Cash
1041,2024-07-27,Customer_325,Olivos,Football Socks,Accessories,12000,1,12000,Martin,Referral,Pending,Transfer
1042,2025-03-09,Customer_142,CABA,River Jersey,Jersey,56000,3,168000,David,MercadoLibre,Closed,Credit Card
